Geslacht,BMI,Woon,StapEst,ErvFASub1[Q],ErvFASub2[Q],ErvFA,DagZwa1,TijdZwa1[Uur],TijdZwa1[Min],DagMat1,TijdMat1[Uur],TijdMat1[Min],DagWan1,TijdWan1[Uur],TijdWan1[Min],IPAQTOT1,TijdZit1[Uur],TijdZit1[Min],Attitu[1],Attitu[2],AttituTot,SocOmg[1],SocOmg[2],SocOmgTot,ZelfEff[1],ZelfEff[2],ZelfEff[3],ZelfEff[4],ZelfEff[5],ZelfEff[6],ZelfEff[7],ZelfEff[8],ZelfEff[9],ZelfEff[10],ZelfEffTot,BeweegRichtlijn,Systeem,StapAantal[1],StapAantal[2],StapAantal[3],StapAantal[4],StapAantal[5],StapAantal[6],StapAantal[7],Comment[1],Comment[2],Comment[3],Comment[4],Comment[5],Comment[6],Comment[7],DagZwa2,TijdZwa2[Uur],TijdZwa2[Min],DagMat2,TijdMat2[Uur],TijdMat2[Min],DagWan2,TijdWan2[Uur],TijdWan2[Min],IPAQTOT2,TijdZit2[Uur],TijdZit2[Min]
Man,20.0,Uitwonend,8000.0,6.0,5.0,5.5,2.0,1.0,,0.0,,,6.0,1.0,,2148.0,8.0,,6.0,4.0,5.0,4.0,4.0,4.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,36.0,Nee,Smartwatch,14932.0,7633.0,6474.0,7013.0,4749.0,5146.0,6621.0,,,,,,,,2.0,,,,,,,,,0.0,,
Man,19.6,Uitwonend,7000.0,3.0,3.0,3.0,1.0,0.0,30.0,7.0,1.0,0.0,7.0,0.0,20.0,2382.0,4.0,0.0,5.0,6.0,5.5,3.0,5.0,4.0,Altijd waar,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Soms waar,Soms waar,33.0,Nee,iphone,3381.0,7341.0,6547.0,1112.0,4112.0,4150.0,5113.0,,,,,,,,0.0,,,1.0,0.0,30.0,7.0,0.0,20.0,582.0,4.0,0.0
Vrouw,18.4,Thuiswonend,5000.0,6.0,6.0,6.0,3.0,1.0,30.0,5.0,0.0,30.0,3.0,0.0,15.0,2908.5,5.0,0.0,6.0,7.0,6.5,6.0,5.0,5.5,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,35.0,Ja,iPhone,3079.0,4212.0,4071.0,5692.0,8918.0,3357.0,3067.0,nee,"ja tijdens werk, ongeveer 2 uur",nee,nee,nee,nee,nee,3.0,1.0,30.0,2.0,0.0,25.0,4.0,2.0,0.0,3944.0,7.0,30.0
Vrouw,19.3,Uitwonend,50000.0,2.0,2.0,2.0,3.0,5.0,0.0,1.0,0.0,20.0,4.0,0.0,15.0,7478.0,10.0,0.0,6.0,6.0,6.0,1.0,3.0,2.0,Soms waar,Soms waar,Soms waar,Soms waar,Zelden waar,Zelden waar,Zelden waar,Soms waar,Zelden waar,Soms waar,26.0,Nee,Smartwatch,11645.0,11548.0,12066.0,2757.0,1867.0,3120.0,8871.0,25 km geskied,43 km geskied,33 km geskied,,,,4 km hardgelopen,4.0,4.0,47.0,3.0,,20.0,7.0,,20.0,9886.0,10.0,
Vrouw,21.0,Thuiswonend,,5.0,4.0,4.5,3.0,1.0,30.0,6.0,,45.0,7.0,1.0,,4626.0,,,6.0,6.0,6.0,5.0,6.0,5.5,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,Soms waar,36.0,Ja,"apple watch, smartwatch",8575.0,12236.0,11451.0,9308.0,8427.0,8287.0,12530.0,,,,,,,,2.0,,30.0,6.0,,45.0,5.0,,30.0,2055.0,7.0,
Vrouw,23.7,Uitwonend,8000.0,5.0,3.0,4.0,0.0,,,5.0,0.0,45.0,6.0,0.0,40.0,1692.0,3.0,,6.0,6.0,6.0,6.0,4.0,5.0,Soms waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,36.0,Nee,apple telefoon,5405.0,9215.0,9197.0,10616.0,12125.0,8965.0,12960.0,,,,,,,,0.0,,,4.0,1.0,0.0,5.0,0.0,45.0,1702.5,6.0,
Vrouw,20.5,Uitwonend,7500.0,4.0,5.0,4.5,2.0,1.0,30.0,5.0,0.0,30.0,,,,2040.0,,,6.0,6.0,6.0,5.0,5.0,5.0,Soms waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,36.0,Ja,iPhone,7823.0,3234.0,14046.0,8972.0,1703.0,6842.0,10604.0,,,,,,,,1.0,1.0,30.0,3.0,0.0,15.0,7.0,0.0,25.0,1477.5,9.0,0.0
,21.5,Thuiswonend,10000.0,6.0,6.0,6.0,3.0,1.0,30.0,5.0,2.0,0.0,6.0,1.0,30.0,6342.0,9.0,30.0,6.0,7.0,6.5,5.0,4.0,4.5,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,37.0,Ja,FitBit,7611.0,11930.0,7496.0,3527.0,1706.0,7951.0,7293.0,,,,"3500, dans ong 45 minuten intensief","6000, dans ong 90 minuten",,,4.0,1.0,30.0,5.0,4.0,0.0,7.0,3.0,0.0,11838.0,8.0,0.0
Vrouw,24.0,Uitwonend,7000.0,4.0,4.0,4.0,3.0,1.0,0.0,3.0,0.0,20.0,3.0,0.0,20.0,1878.0,6.0,0.0,6.0,6.0,6.0,4.0,5.0,4.5,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,36.0,Ja,smartwatch,5105.0,5814.0,6046.0,5555.0,7898.0,10611.0,7639.0,,,,,,,,2.0,1.0,,5.0,,20.0,5.0,,20.0,1690.0,8.0,
Vrouw,18.6,Uitwonend,10000.0,4.0,3.0,3.5,0.0,,,2.0,0.0,20.0,7.0,2.0,0.0,2932.0,4.0,,5.0,4.0,4.5,4.0,3.0,3.5,Soms waar,Soms waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,32.0,Ja,smartphone,9247.0,16749.0,15474.0,33753.0,11210.0,8083.0,16160.0,,,,,,,,0.0,,,3.0,4.0,,7.0,1.0,,4266.0,2.0,
